Date,Anomaly score
2019-05-01 00:00:00,4.82
2019-05-01 00:05:00,3.3
2019-05-01 00:10:00,4.98
2019-05-01 00:15:00,4.02
2019-05-01 00:20:00,4.54
2019-05-01 00:25:00,4.06
2019-05-01 00:30:00,4.64
2019-05-01 00:35:00,3.64
2019-05-01 00:40:00,4.16
2019-05-01 00:45:00,4.74
2019-05-01 00:50:00,4.78
2019-05-01 00:55:00,3.34
2019-05-01 01:00:00,5.2
2019-05-01 01:05:00,4.24
2019-05-01 01:10:00,5.0
2019-05-01 01:15:00,3.24
2019-05-01 01:20:00,4.36
2019-05-01 01:25:00,3.88
2019-05-01 01:30:00,3.78
2019-05-01 01:35:00,3.42
2019-05-01 01:40:00,3.84
2019-05-01 01:45:00,4.18
2019-05-01 01:50:00,4.1
2019-05-01 01:55:00,4.1
2019-05-01 02:00:00,4.14
2019-05-01 02:05:00,3.52
2019-05-01 02:10:00,4.26
2019-05-01 02:15:00,3.54
2019-05-01 02:20:00,4.12
2019-05-01 02:25:00,4.2
2019-05-01 02:30:00,3.6
2019-05-01 02:35:00,3.44
2019-05-01 02:40:00,4.42
2019-05-01 02:45:00,3.68
2019-05-01 02:50:00,3.7
2019-05-01 02:55:00,3.94
2019-05-01 03:00:00,3.88
2019-05-01 03:05:00,3.76
2019-05-01 03:10:00,3.98
2019-05-01 03:15:00,4.36
2019-05-01 03:20:00,4.42
2019-05-01 03:25:00,3.3
2019-05-01 03:30:00,3.94
2019-05-01 03:35:00,3.38
2019-05-01 03:40:00,4.44
2019-05-01 03:45:00,4.2
2019-05-01 03:50:00,3.54
2019-05-01 03:55:00,3.72
2019-05-01 04:00:00,3.72
2019-05-01 04:05:00,3.9
2019-05-01 04:10:00,5.28
2019-05-01 04:15:00,7.1
2019-05-01 04:20:00,4.9
2019-05-01 04:25:00,15.66
2019-05-01 04:30:00,4.8
2019-05-01 04:35:00,7.1
2019-05-01 04:40:00,4.88
2019-05-01 04:45:00,7.44
2019-05-01 04:50:00,4.68
2019-05-01 04:55:00,7.56
2019-05-01 05:00:00,23.52
2019-05-01 05:05:00,14.5
2019-05-01 05:10:00,17.68
2019-05-01 05:15:00,30.54
2019-05-01 05:20:00,15.82
