TICKET_ID,SERVICE_TYPE,SUBMIT_DATE,LAST_MODIFICATION_DATE,ASSIGNED_SUPPORT_COMPANY,REPORTED_DATE,REPORTED_SOURCE_ID,OPERATING_COMPANY_NAME,CONTACT_COMPANY_NAME,END_USER_COUNTRY,REQUIRED_RESOLUTION_DATE,ASSIGNED_AGENT,LAST_RESOLVED_DATE,CLOSED_DATE,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,OPERATIONAL_CATEGORIZATION_TIER_1,OPERATIONAL_CATEGORIZATION_TIER_2,OPERATIONAL_CATEGORIZATION_TIER_3,CLOSURE_CATEGORIZATION_TIER_1,CLOSURE_CATEGORIZATION_TIER_2,CLOSURE_CATEGORIZATION_TIER_3,VENDOR_GROUP,INF2_HPD_OUTAGE_DURATION,ADMIN_NUMBER,INSTANCEID
INC000000577399,User Service Request,2017-03-06 19:49:08,2019-06-25 13:08:44,XO Communications,2017-03-06 19:49:08,15001.0,XO Communications,,Spain,,,2017-03-22 19:15:46,2017-03-30 02:09:31,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Failure,Service Reports,CUSTOMER,LAN failures,,XO Communications,338.0,20100322-SITEMPLS-0000075945,AGHAA5V0A57O9AOM4S3USK9DU28MAI
INC000000593918,User Service Restoration,2017-04-08 11:07:01,2019-06-25 13:08:44,XO Communications,2017-04-08 11:07:01,15001.0,XO Communications,,Spain,2017-04-08 11:20:49,Generic XO Telecomunications,2017-04-12 16:02:45,2017-04-20 02:25:44,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Performance,Frequent Cuts and Interruptions,PROVIDER,LOCAL LOOP,LL - RESTORED WITHOUT INTERVENTION,XO Communications,1.0,20100322-SITEMPLS-0000075945,AGHAA5V0A57O9AOODIHOEYSBX5FXE9
INC000000711346,User Service Restoration,2017-09-18 16:41:51,2019-06-25 13:08:44,XO Communications,2017-09-18 16:41:51,15001.0,XO Communications,,Spain,2017-09-18 22:00:00,,2017-09-18 22:44:54,2017-09-26 02:00:00,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Failure,Damage in Backup Line,PROVIDER,LOCAL LOOP,LL - DAMAGED CARD,XO Communications,457.0,20100322-SITEMPLS-0000075945,AGHAA5V0A57O9AOW783QXRGBLPX35N
INC000000721052,Query Ticket,2017-09-29 03:09:15,2019-06-25 13:08:44,XO Communications,2017-09-29 03:09:15,15001.0,XO Communications,,Spain,2017-10-02 22:00:00,Generic XO Telecomunications,2017-11-08 12:21:28,2017-11-16 02:00:00,WAN connectivity,Managed international VPN,VLL Connection,Wan Services,Ethernet - Failure,RFO,PROVIDER,LOCAL LOOP,LL - OTHERS,XO Communications,5444.0,20100322-SITEMPLS-0000075945,AGHAA5V0A57OPAOXAUD4IMMAJ4ZXLX
INC000001193745,User Service Restoration,2018-05-07 17:59:23,2019-06-25 13:08:44,XO Communications,2018-05-07 17:59:23,15001.0,XO Communications,Telefonica,Spain,2018-05-08 10:18:40,,2018-05-15 10:01:33,2018-05-23 02:20:42,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,PROVIDER,LOCAL LOOP,LL - OTHERS,XO Communications,1.0,20100322-SITEMPLS-0000075945,AGGAA5V0F5WOOAPI33YZPH6PH8GNJ2
INC000001311440,User Service Restoration,2018-07-29 16:12:39,2019-06-25 13:08:44,XO Communications,2018-07-29 16:12:39,15001.0,XO Communications,Telefonica,,2018-07-30 04:37:30,,2018-07-30 04:38:00,2018-07-30 04:38:20,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,WAN - PROVIDER,LOCAL NNI,LNNI - FIBER CUT,XO Communications,298.0,20100322-SITEMPLS-0000075945,AGGAA5V0F5WOOAP2MY3DP1QDRPLRPU
INC000000577387,User Service Request,2017-03-06 19:01:44,2019-07-18 19:35:55,Telefonica,2017-03-06 18:55:10,10000.0,Telefónica México (Pegaso),Telefónica México (Pegaso),Spain,,Giovanni García Zelasco,2017-03-07 00:53:29,2017-03-14 02:03:51,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Failure,Service Reports,CUSTOMER,LAN failures,,,338.0,20100322-SITEMPLS-0000075945,IDHAA5V0A57O9AOM4PVIS8LG4T7M2H
INC000000593842,User Service Restoration,2017-04-08 10:57:42,2019-07-18 19:35:55,Telefonica,2017-04-08 10:53:02,12001.0,Telefónica México (Pegaso),Telefónica México (Pegaso),Spain,2017-04-08 10:59:34,Ionela Maria Icleanu,2017-04-12 16:03:08,2017-04-20 02:25:44,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Performance,Frequent Cuts and Interruptions,PROVIDER,LOCAL LOOP,LL - RESTORED WITHOUT INTERVENTION,XO Communications,2.0,20100322-SITEMPLS-0000075945,AGHAA5V0A57OPAOODHSFEY0YD8G10D
INC000000603330,User Service Restoration,2017-04-25 16:27:37,2019-07-18 19:35:55,Telefonica,2017-04-25 16:17:07,12001.0,Telefónica México (Pegaso),Telefónica México (Pegaso),Spain,2017-04-25 16:27:37,Alberto Barberan Pea,2017-04-26 16:43:44,2017-05-04 02:11:51,WAN connectivity,Managed national VPN,VPN MPLS,Wan Services,MWAN - Failure,Total Isolation,CUSTOMER,Scheduled Work,Notified,,0.0,20100322-SITEMPLS-0000075945,IDHAA5V0A57OPAOOZDWJA42DLYG7BQ
INC000000710625,Infrastructure Event,2017-09-17 06:00:15,2019-07-18 19:35:55,Telefonica,2017-09-17 05:55:36,12001.0,Telefónica México (Pegaso),Telefónica México (Pegaso),Spain,,,2017-09-17 06:11:59,2017-09-17 06:11:59,WAN connectivity,Managed national VPN,VPN MPLS,Wan Services,Ethernet - Performance,Partial Isolation,CUSTOMER,OTHER,OTHER,,0.0,20100322-SITEMPLS-0000075945,IDHAA5V0A57O9AOW4T8SVO585A7141
