TICKET_ID,SERVICE_TYPE,SUBMIT_DATE,LAST_MODIFICATION_DATE,ASSIGNED_SUPPORT_COMPANY,REPORTED_DATE,REPORTED_SOURCE_ID,OPERATING_COMPANY_NAME,OPERATING_LE,CONTACT_COMPANY_NAME,END_USER_COUNTRY,REQUIRED_RESOLUTION_DATE,ASSIGNED_AGENT,LAST_RESOLVED_DATE,CLOSED_DATE,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,OPERATIONAL_CATEGORIZATION_TIER_1,OPERATIONAL_CATEGORIZATION_TIER_2,OPERATIONAL_CATEGORIZATION_TIER_3,CLOSURE_CATEGORIZATION_TIER_1,CLOSURE_CATEGORIZATION_TIER_2,CLOSURE_CATEGORIZATION_TIER_3,VENDOR_GROUP,INF2_HPD_OUTAGE_DURATION,CI_COUNTRY,ADMIN_NUMBER,INSTANCEID
INC000001638148,User Service Restoration,2019-03-21 03:46:51,2019-03-28 11:45:49,Telefonica,2019-03-21 03:46:46,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-03-21 03:51:51,,2019-03-21 04:14:05,2019-03-25 02:33:56,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Provider,Local Loop,Notified scheduled work,,5,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APOPG8DPNRWGZW05S
INC000001750949,User Service Restoration,2019-06-08 01:25:21,2019-06-08 03:46:59,Telefonica,2019-06-08 01:24:38,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,,,2019-06-08 02:11:01,2019-06-08 02:14:13,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Telefonica,LOSS OF MANAGEMENT,FALSE ALARM,,4.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APSR0MJPRTUYI9DCI
INC000001751891,User Service Restoration,2019-06-09 01:49:34,2019-06-09 01:52:26,Telefonica,2019-06-09 01:49:25,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-06-09 01:52:24,,2019-06-09 01:52:24,2019-06-09 01:52:24,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Provider,Local Loop,Restored automatically without intervention,,2.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APSTG4MPRVQO27ZCM
INC000001751917,User Service Restoration,2019-06-09 02:20:30,2019-06-09 02:23:44,Telefonica,2019-06-09 02:19:36,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-06-09 02:22:37,,2019-06-09 02:22:37,2019-06-09 02:22:37,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Provider,Local Loop,Restored automatically without intervention,,2.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APSTHUGPRVSDW8A2G
INC000001752043,User Service Restoration,2019-06-09 03:56:16,2019-06-09 04:01:30,Telefonica,2019-06-09 03:56:07,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-06-09 04:01:27,,2019-06-09 04:01:27,2019-06-09 04:01:27,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Provider,Local Loop,Restored automatically without intervention,,5.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APST2JSPRVW98826Y
INC000001752439,User Service Restoration,2019-06-09 21:10:00,2019-06-09 21:12:31,Telefonica,2019-06-09 21:09:50,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-06-09 21:12:30,,2019-06-09 21:12:30,2019-06-09 21:12:30,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Provider,Local Loop,Restored automatically without intervention,,2.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F6F35APSUOEOPRXI44C24S
INC000001754502,User Service Restoration,2019-06-11 01:16:21,2019-06-11 01:20:00,Telefonica,2019-06-11 01:16:12,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-06-11 01:19:58,,2019-06-11 01:19:58,2019-06-11 01:19:58,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Provider,Local Loop,Restored automatically without intervention,,3.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APSWUHJPRZ46ZT9BZ
INC000001783949,User Service Restoration,2019-06-29 21:44:34,2019-09-01 00:00:29,Telefonica,2019-06-29 21:44:31,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-06-29 23:38:11,Librado Hernandez Villaseñor,2019-07-01 21:42:34,2019-07-01 21:42:45,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Backup Line,Damage in Backup Line,Provider,Local Loop,Damaged card,,114.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F6F35APTVRC0PSYJZ61SIQ
INC000001786729,User Service Restoration,2019-07-02 00:12:58,2019-07-02 04:33:40,Telefonica,2019-07-02 00:12:55,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,,,2019-07-02 04:32:19,2019-07-02 04:33:39,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,TELEFONICA,LOSS OF MANAGEMENT,FALSE ALARM,,1.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APTZNJMPTCG1KLTEE
INC000001799986,User Service Restoration,2019-07-09 23:58:50,2019-08-21 07:42:26,Telefonica,2019-07-09 23:58:46,12001.0,Telefonica Multinational Solutions LATAM,CEMEX,,Spain,2019-07-10 00:01:49,,2019-07-10 00:01:49,2019-07-10 00:01:49,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,TELEFONICA,LOSS OF MANAGEMENT,FALSE ALARM,,1.0,Mexico,20160602-SITEMPLS-0000407884,IDGAA5V0F5V26APU45YCPT6YZZULVA
