Date,Anomaly score
2019-01-01 00:00:00,4.2
2019-01-01 00:05:00,4.76
2019-01-01 00:10:00,3.58
2019-01-01 00:15:00,4.02
2019-01-01 00:20:00,3.52
2019-01-01 00:25:00,3.14
2019-01-01 00:30:00,3.92
2019-01-01 00:35:00,2.94
2019-01-01 00:40:00,2.44
2019-01-01 00:45:00,3.48
2019-01-01 00:50:00,3.66
2019-01-01 00:55:00,3.7
2019-01-01 01:00:00,4.24
2019-01-01 01:05:00,3.82
2019-01-01 01:10:00,3.48
2019-01-01 01:15:00,3.3
2019-01-01 01:20:00,4.56
2019-01-01 01:25:00,4.34
2019-01-01 01:30:00,3.4
2019-01-01 01:35:00,4.52
2019-01-01 01:40:00,3.26
2019-01-01 01:45:00,3.82
2019-01-01 01:50:00,4.6
2019-01-01 01:55:00,4.68
2019-01-01 02:00:00,3.48
2019-01-01 02:05:00,3.0
2019-01-01 02:10:00,3.24
2019-01-01 02:15:00,5.56
2019-01-01 02:20:00,5.44
2019-01-01 02:25:00,15.58
2019-01-01 02:30:00,17.48
2019-01-01 02:35:00,39.5
2019-01-01 02:40:00,18.64
2019-01-01 02:45:00,7.5
2019-01-01 02:50:00,22.12
2019-01-01 02:55:00,13.48
2019-01-01 03:00:00,3.44
2019-01-01 03:05:00,3.16
2019-01-01 03:10:00,3.96
2019-01-01 03:15:00,6.1
2019-01-01 03:20:00,7.34
2019-01-01 03:25:00,7.48
2019-01-01 03:30:00,4.58
2019-01-01 03:35:00,10.96
2019-01-01 03:40:00,4.52
2019-01-01 03:45:00,6.5
2019-01-01 03:50:00,6.96
2019-01-01 03:55:00,6.12
2019-01-01 04:00:00,7.86
2019-01-01 04:05:00,11.04
2019-01-01 04:10:00,4.18
2019-01-01 04:15:00,15.36
2019-01-01 04:20:00,4.82
2019-01-01 04:25:00,6.02
2019-01-01 04:30:00,11.54
2019-01-01 04:35:00,4.4
2019-01-01 04:40:00,11.32
2019-01-01 04:45:00,14.76
2019-01-01 04:50:00,46.12
2019-01-01 04:55:00,21.84
2019-01-01 05:00:00,31.24
2019-01-01 05:05:00,31.54
2019-01-01 05:10:00,33.84
2019-01-01 05:15:00,4.9
2019-01-01 05:20:00,39.12
2019-01-01 05:25:00,4.78
2019-01-01 05:30:00,5.78
2019-01-01 05:35:00,7.2
2019-01-01 05:40:00,5.28
2019-01-01 05:45:00,5.94
2019-01-01 05:50:00,8.22
2019-01-01 05:55:00,28.86
2019-01-01 06:00:00,27.92
2019-01-01 06:05:00,34.0
2019-01-01 06:10:00,25.04
2019-01-01 06:15:00,32.94
2019-01-01 06:20:00,5.04
2019-01-01 06:25:00,49.1
2019-01-01 06:30:00,36.0
2019-01-01 06:35:00,30.34
2019-01-01 06:40:00,21.76
2019-01-01 06:45:00,23.8
2019-01-01 06:50:00,18.98
2019-01-01 06:55:00,39.44
2019-01-01 07:00:00,29.68
2019-01-01 07:05:00,45.38
2019-01-01 07:10:00,50.42
2019-01-01 07:15:00,35.9
2019-01-01 07:20:00,54.18
2019-01-01 07:25:00,5.62
2019-01-01 07:30:00,54.76
2019-01-01 07:35:00,10.16
2019-01-01 07:40:00,42.36
2019-01-01 07:45:00,31.56
2019-01-01 07:50:00,40.66
2019-01-01 07:55:00,40.0
2019-01-01 08:00:00,25.42
